Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
Saw,2004,103 min,7.6,N/A,456088,56.00M
Harry Potter and the Sorcerer's Stone,2001,152 min,7.6,65,831421,317.58M
American Psycho,2000,102 min,7.6,64,684188,15.07M
The Others,2001,104 min,7.6,74,385447,96.52M
Once Upon a Time in Hollywood,2019,161 min,7.6,83,807233,142.50M
The Fifth Element,1997,126 min,7.6,N/A,494748,63.54M
RoboCop,1987,102 min,7.6,70,274222,53.42M
Watchmen,2009,162 min,7.6,N/A,572013,107.51M
What We Do in the Shadows,2014,86 min,7.6,76,195336,3.33M
The Birds,1963,119 min,7.6,90,200618,11.40M
300,2006,117 min,7.6,N/A,849457,210.61M
Superbad,2007,113 min,7.6,76,616271,121.46M
Deadpool 2,2018,119 min,7.6,66,623300,324.59M
The Fly,1986,96 min,7.6,79,196996,40.46M
Office Space,1999,89 min,7.6,68,281426,10.82M
Stardust,2007,127 min,7.6,66,280781,38.63M
My Cousin Vinny,1992,120 min,7.6,68,136395,52.93M
Star Wars: Episode III - Revenge of the Sith,2005,140 min,7.6,68,828195,380.26M
Hell or High Water,2016,102 min,7.6,88,245196,27.01M
Kung Fu Panda,2008,92 min,7.6,74,501940,215.43M
Despicable Me,2010,95 min,7.6,72,571163,251.51M
Moneyball,2011,133 min,7.6,87,452267,75.61M
Guardians of the Galaxy Vol. 2,2017,136 min,7.6,67,740047,389.81M
A Star Is Born,2018,136 min,7.6,88,407727,215.29M
The Thin Red Line,1998,170 min,7.6,78,196229,36.40M
The Butterfly Effect,2004,113 min,7.6,N/A,511750,57.94M
Midnight in Paris,2011,94 min,7.6,81,442757,56.82M
Minority Report,2002,145 min,7.6,80,574210,132.07M
Kick-Ass,2010,117 min,7.6,66,584049,48.07M
After Hours,1985,97 min,7.6,90,77431,10.60M
The Royal Tenenbaums,2001,110 min,7.6,76,307992,52.36M
The Invisible Man,1933,71 min,7.6,87,38971,N/A
The Machinist,2004,101 min,7.6,61,408510,1.08M
Gone Baby Gone,2007,114 min,7.6,72,284194,20.30M
Match Point,2005,124 min,7.6,72,225194,23.09M
True Grit,2010,110 min,7.6,80,352205,171.24M
Eastern Promises,2007,100 min,7.6,83,255656,17.11M
The Blind Side,2009,129 min,7.6,N/A,353346,255.96M
End of Watch,2012,109 min,7.6,68,262751,41.00M
Lethal Weapon,1987,109 min,7.6,68,270899,65.21M
The Jungle Book,1967,78 min,7.6,65,194354,141.84M
The Road Warrior,1981,96 min,7.6,77,189554,12.47M
Die Hard with a Vengeance,1995,128 min,7.6,N/A,400979,100.01M
The Mitchells vs the Machines,2021,114 min,7.6,81,121820,N/A
Ponyo,2008,101 min,7.6,86,156195,15.09M
Searching,2018,102 min,7.6,71,176562,26.02M
Dark Waters,2019,126 min,7.6,73,96674,N/A
The Raid: Redemption,2011,101 min,7.6,73,213626,4.11M
Rushmore,1998,93 min,7.6,86,194922,17.11M
The Taking of Pelham One Two Three,1974,104 min,7.6,68,33986,2.49M
The Last King of Scotland,2006,123 min,7.6,74,193435,17.61M
I Am Sam,2001,132 min,7.6,N/A,153756,40.31M
50/50,2011,100 min,7.6,72,339902,35.01M
21 Grams,2003,124 min,7.6,70,243432,16.29M
Rebel Without a Cause,1955,111 min,7.6,89,96118,N/A
The Bridges of Madison County,1995,135 min,7.6,69,86829,71.52M
Barton Fink,1991,116 min,7.6,69,127050,6.15M
25th Hour,2002,135 min,7.6,69,183152,13.06M
Philomena,2013,98 min,7.6,77,102887,37.71M
United 93,2006,111 min,7.6,90,109834,31.57M
When Marnie Was There,2014,103 min,7.6,72,45514,0.77M
Control,2007,122 min,7.6,78,67760,0.87M
A Very Long Engagement,2004,133 min,7.6,76,75347,6.17M
Shine,1996,105 min,7.6,87,55972,35.81M
Cell 211,2009,113 min,7.6,N/A,69905,N/A
