Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
The Deer Hunter,1978,183 min,8.1,86,354446,48.98M
Into the Wild,2007,148 min,8.1,73,646105,18.35M
Rocky,1976,120 min,8.1,70,613574,117.24M
Inside Out,2015,95 min,8.1,94,759550,356.46M
Room,2015,118 min,8.1,86,440760,14.68M
Ford v Ferrari,2019,152 min,8.1,81,442510,117.62M
Trainspotting,1996,93 min,8.1,83,712827,16.50M
Memories of Murder,2003,132 min,8.1,82,205916,0.01M
"Three Billboards Outside Ebbing, Missouri",2017,115 min,8.1,88,539692,54.51M
The Help,2011,146 min,8.1,62,482125,169.71M
Logan,2017,137 min,8.1,77,808706,226.28M
Spotlight,2015,129 min,8.1,93,491983,45.06M
The Sound of Music,1965,172 min,8.1,63,251075,163.21M
"Lock, Stock and Two Smoking Barrels",1998,107 min,8.1,66,605371,3.90M
Rush,2013,123 min,8.1,74,502334,26.95M
12 Years a Slave,2013,134 min,8.1,96,728221,56.67M
Warrior,2011,140 min,8.1,71,489624,13.66M
Raging Bull,1980,129 min,8.1,90,371573,23.38M
Before Sunrise,1995,101 min,8.1,77,329933,5.54M
Hachi: A Dog's Tale,2009,93 min,8.1,N/A,302845,N/A
How to Train Your Dragon,2010,98 min,8.1,75,780150,217.58M
Platoon,1986,120 min,8.1,92,430460,138.53M
My Neighbor Totoro,1988,86 min,8.1,86,364929,1.11M
Barry Lyndon,1975,185 min,8.1,89,178249,N/A
"Paris, Texas",1984,145 min,8.1,81,114255,2.18M
Gran Torino,2008,116 min,8.1,72,801615,148.10M
Portrait of a Lady on Fire,2019,122 min,8.1,95,103974,3.76M
In the Mood for Love,2000,98 min,8.1,87,161658,2.73M
La haine,1995,98 min,8.1,N/A,189186,0.31M
Million Dollar Baby,2004,132 min,8.1,86,710215,100.49M
Ben-Hur,1959,212 min,8.1,90,249061,74.70M
Wild Tales,2014,122 min,8.1,77,210853,3.11M
The Seventh Seal,1957,96 min,8.1,88,194271,N/A
Stalker,1979,162 min,8.1,85,141272,0.23M
Before Sunset,2004,80 min,8.1,91,280996,5.82M
The Iron Giant,1999,86 min,8.1,85,218234,23.16M
In the Name of the Father,1993,133 min,8.1,84,183507,25.01M
Cool Hand Luke,1967,127 min,8.1,92,185401,16.22M
Amores Perros,2000,154 min,8.1,83,249442,5.38M
Rebecca,1940,130 min,8.1,86,143767,4.36M
Network,1976,121 min,8.1,83,166612,N/A
The Bridge on the River Kwai,1957,161 min,8.1,87,229588,44.91M
A Silent Voice: The Movie,2016,130 min,8.1,78,95012,N/A
Hotel Rwanda,2004,121 min,8.1,79,367045,23.53M
Persona,1966,83 min,8.1,86,127695,N/A
On the Waterfront,1954,108 min,8.1,91,161455,9.60M
The Third Man,1949,93 min,8.1,97,178541,0.45M
Diabolique,1955,117 min,8.1,N/A,68408,1.09M
The Celebration,1998,105 min,8.1,82,91850,1.65M
PK,2014,153 min,8.1,N/A,196770,10.62M
The Best Years of Our Lives,1946,170 min,8.1,93,68776,23.65M
The Red Shoes,1948,135 min,8.1,N/A,37896,10.90M
Mary and Max,2009,92 min,8.1,N/A,183837,N/A
The Man Who Shot Liberty Valance,1962,123 min,8.1,94,80556,N/A
Farewell My Concubine,1992,171 min,8.1,84,32013,5.22M
Neon Genesis Evangelion: The End of Evangelion,1997,87 min,8.1,N/A,61245,N/A
